Время,Название,Сумма,Кластер
Февраль-март,Радиовещание в столовых МФТИ («Физтех.Радио»),64500,Другое
Февраль-март,Вечера настольных игр (инициативная группа),20000,Другое
Февраль-март,"Галерея, лекции и кинопоказы от «Культурного физтеха» (Профком студентов)",52500,Культура
Февраль-март,Программа развития волонтерства «Физтех.Добро» (Волонтерское объединение МФТИ),46200,Другое
Февраль-март,Подготовка команды МФТИ «А1рЬаПапсе» на московскую студенческую весну (Сборная МФТИ ««А1рЬаОапсе»»,72000,Спорт
Февраль-март,Программа развития добровольной народной дружины (ДНД),48000,Другое
Февраль-март,Программа развития студии огненного шоу «ЮМ8М1РТ» (Игнис),45000,Огонь
Февраль-май,Турниры по дебатам + программа развития Клуба дебатов МФТИ (КД МФТИ),47200,Дебаты
Март-апрель,Мастер-классы по изобразительному искусству («Физтех.Галерея»),30000,Культура
Март,Весенний бал МФТИ (Клуб исторического моделирования),25500,Танец
Март,"Запись альбома музыкальной группы ""Промышленный проезд""",5600,Музыка
Март-май,Экскурсионная программа «КультОбзор» (инициативная группа),35000,Культура
Апрель,Запись мини-альбома музыкальной группы «Некондиция»,4000,Музыка
Март-апрель,Спектакль СТ «Точка»: «Гуманисты»,27100,Театр
Март-апрель,Спектакль СТ «Точка»: «Июль»,13750,Театр
Март-апрель,Весенний творческий фестиваль изобразительного искусства («Физтех.Г алерея»),11000,Культура
Март,Спектакль СТ «СТЭМ ФОПФ»: «Нет больше слов»,41836,Театр
Март,XIII кубок Физтеха по интеллектуальным играм (клуб ЧГК),130000,ЧГК
Апрель,Межфакультетский кубок КВН + школа КВН (Клуб КВН),110000,Другое
Апрель,Выезд актива МФТИ 2019 (МКИ),350000,Выезд
Апрель,СТ «СТЭМ ФОПФ»: Традиционный весенний спектакль,24000,Театр
Май,Рок-фестиваль «8рпп§ 1луе Зеззюп» («М1РТ.ПУЕ»),120000,Музыка
Май,Спектакль СТ «Точка»: «Учитель химии»,15210,Театр
Май,СТЭМ «ЭТО ТьМА»: 8ТАИО ИР-вечер «Тьма и друзья»,20000,Музыка
Май,"Спектакль СТ «СТЭМ ФОПФ»: «Молчи, скрывайся и таи»",26000,Театр
Май,Молодежный фестиваль «ДНИ ФИЗИКА» (ОКДФ),350000,ДФ
Май,Спортивно-массовое событие «ОеекКасе» (профком студентов),277000,Спорт
"Май, ноябрь","Танцевальный конкурс ""ЕхропепбаГ^Физика танца»)",55000,Танец
Июнь,День рождения вожатского отряда «Фотон» и «День защиты детей»,40000,Праздник
Август,День первокурсника (МКИ),150000,Бренд
Август,Интеллектуальная игра «Самый умный» (МКИ),150000,ЧГК
Сентябрь,Курсы молодого средневекового бойца (Клуб истор. моделирования),10000,Другое
Ноябрь,Спектакль СТ «Точка»: «АиШтп»,19800,Театр
Октябрь,Школьный кубок ЧГК (клуб ЧГК),36000,ЧГК
Ноябрь,Кубок первокурсников КВН (клуб КВН),71300,Другое
Ноябрь,Осенний бал МФТИ (Клуб исторического моделирования),15000,Танец
Ноябрь,Спектакль СТ «Точка»: «АРТ»,25000,Театр
Ноябрь,Традиционный осенний концерт СТЭМ «ЭТО ТьМА»,23000,Музыка
Декабрь,Новогодний фестиваль от «Физтех.Галереи»,25000,Культура
,,,
,,,
