Название,Студорганизация,Сумма,Кластер
"ВО ""Фотон"" Школа вожатых МФТИ","Вожатский отряд ""Фотон""",26000.0,Вожатые
"ВО ""Фотон"" Празднование Дня защиты детей в рамках Дня рождения ""Фотона""","Вожатский отряд ""Фотон""",35000.0,Вожатые
Материально-техническое обеспечение и повышение квалификации ДНД,Добровольная народная дружина,58000.0,Другое
Программа «Вечера психологических игр “Мне не все равно»,"Добровольческое движение ""Мне не все равно""",12000.0,Псих
Мероприятия по социализации и психологической разгрузке “Мне не все равно”,"Добровольческое движение ""Мне не все равно""",15000.0,Псих
Туристический слет “Мне не все равно”,"Добровольческое движение ""Мне не все равно""",30000.0,Псих
Выездной тренинг-семинар по подготовке студенческих групп для оказания оперативной и допсих. помощи,"Добровольческое движение ""Мне не все равно""",137000.0,Псих
XIV Кубок Физтеха по интеллектуальным играм,"Клуб ""Что? Где? Когда?""",120000.0,ЧГК
Программа турниров Клуба Дебатов МФТИ,Клуб Дебатов МФТИ,25000.0,Дебаты
КИМ: Весенний бал МФТИ,Клуб исторического моделирования МФТИ,20000.0,Танец
КИМ: Осенний бал МФТИ,Клуб исторического моделирования МФТИ,20000.0,Танец
"Программа деятельности ""Ехсhange club""","Клуб межкультурного обмена ""Ехсhange club""",30000.0,Межкультурное
Игротека МФТИ,Клуб настолок МФТИ,30000.0,Другое
Выезд актива МФТИ,Организационный комитет выезд актива,400000.0,Выезд
"Студенческий науч-поп фестиваль МФТИ ""Дни физика""","Организационный комитет ""Дни Физика""",270000.0,ДФ
Спортивная студенческая гонка с препятствиями «Оеек Пасе»,Профком студентов,200000.0,Спорт
Музыкальный альбом коллектива «Промышленый проезд»,"Рок-группа ""Промышленный проезд""",25000.0,Музыка
Концерт студенческих музыкальных коллективов МФТИ “Е1ес1хошс Ргсуес!”,"Рок-клуб ""МГРТ.Нуе""",30000.0,Музыка
Концерт студенческих музыкальных коллективов МФТИ “8рпп§ Ыуе Зеззюп”,"Рок-клуб ""МГРТ.Нуе""",30000.0,Музыка
Концерт студенческих музыкальных коллективов МФТИ “8шшпег 1луе Зеззюп”,"Рок-клуб ""МЗРТ.Нуе""",70000.0,Музыка
"Фестиваль ""День первокурсника""",С НПО Бакалавры,120000.0,Бренд
СТ «МимО»: Осенний спектакль,"СТ""МимО""",22000.0,Театр
СТ «МимО»: Весенний спектакль,"СТ ""МимО""",25000.0,Театр
СТ «Точка»: Спектакль “Социальные Зарисовки Андрея Царёва”,"СТ ""Точка""",19000.0,Театр
СТ «Точка»: Традиционный осенний спектакль,"СТ ""Точка""",20000.0,Театр
СТ «Точка»: Спектакль «Гореть»,"СТ ""Точка""",25000.0,Театр
СТ “Точка”: Спектакль “Гуманисты”,"СТ ""Точка""",29000.0,Театр
Развитие студенческого интернет-медиа «Поток»,"Студенческое СМИ ""Поток""",45000.0,Другое
Развитие сценических навыков студии огненного и светового шоу «101418»,Студия шоу и огня «Ю№8»,30000.0,Огонь
СТЭМ «ЭТО ТЬМА»: Осенний концерт,"СТЭМ ""ЭТО ТЬМА""",25000.0,Музыка
СТЭМ «ЭТО ТьМА»: Весенний концерт ко дню космонавтики,"СТЭМ ""ЭТО ТЬМА""",30000.0,Музыка
"СТЭМ ""ЭТО ТЬМА"": Фестиваль комедии МФТИ","СТЭМ ""ЭТО ТЬМА""",50000.0,Музыка
"СТ ""СТЭМ ФОПФ"": Весенний спектакль",СТЭМ ФОПФ,19000.0,Театр
"СТ ""СТЭМ ФОПФ"": Спектакль «Дрессировка домашних животных»",СТЭМ ФОПФ,20000.0,Театр
"СТ ""СТЭМ ФОПФ"": Осенний спектакль",СТЭМ ФОПФ,20000.0,Театр
Годовая программа (6 концертов) творческого объединения «Академическая музыка на Физтехе»,"Творческое объединение ""АМнаФ""",100000.0,Музыка
Артмануфактура: Спектакль «Анна Каренина»,Театры МФТИ,40000.0,Театр
Фестиваль театров Физтеха,Театры МФТИ,100000.0,Театр
Танцевальный фестиваль «Ехропепйа!»,Физика Танца,70000.0,Танец
Физтех.Радио: Весенний Эфир Века,Физтех.Радио,16000.0,Другое
Физтех.Радио: Осенний Эфир Века,Физтех.Радио,17000.0,Другое
Физтех.Радио: Стажировка Физтех.Радио,Физтех.Радио,30000.0,Другое
Физтех.Радио: РЪ.уз1есЬ Мете Ау/агбз 2020,Физтех.Радио,35000.0,Другое
Комплекс экоакций «Неделя Гринтеха»,"Эко-отряд МФТИ ""ОгеепТесЬ""",10000.0,Другое
,,,
,,,
,,,
,,,
