Название,Сумма,Кластер
Театральные мастерские на Физтехе,66500.0,Театр
"Спектакль ""Метели""",204010.0,Театр
"Спектакль ""Котлован""",105000.0,Театр
"Поэтические вечера ""С собой по настоящему""",40296.0,Культура
"Концерты творческого объединения ""Академическая музыка на Физтехе""",84000.0,Музыка
Развитие танцевальных навыков студии современного танца «Contempla»,75750.0,Танец
Развитие сценических навыков Студии огненного и светового шоу «Ignis MIPT»,20800.0,Огонь
"“ФЕСТИВАЛЬ, ПРИУРОЧЕННЫЙ КО ДНЮ КОСМОНАВТИКИ”",175000.0,Праздник
Дни Физика,565000.0,ДФ
Музыкальная комната ИНБИКСТ,210000.0,Музыка
XV Кубок Физтеха по интеллектуальным играм,171000.0,ЧГК
Школа вожатых 2022,150000.0,Вожатые
Школа первой психологической помощи,38760.0,Псих
"Стройотряды ""Жар-Птица""",157854.0,Строй
Автобусные экскурсии,200000.0,Экскурс
ФИЗТЕХ-buddy,254000.0,Межкультурное
“Geek Race”,200000.0,Спорт
CHEER FEST,200000.0,Спорт
Кёрлинг в МФТИ,40000.0,Спорт
КВАРК,50000.0,Спорт
КБ Aerokitties,144000.0,Другое
Вело.Физтех и ФОПФ велопрокат,90000.0,Спорт
Учебные ассистенты по информатике АНК,100000.0,Другое
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
